Horner_Adams_Taxon,Species,Ecotype,SVL,FL,RL,HL,HH,HW,SE,CHEEK,NECK
plagA1,metallicus,arboreal,31.45,10.73,12.25,6.85,2.67,4.49,3.07,3.78,7.18
plagA1,metallicus,arboreal,38.11,13.6,15.88,8.3,3.44,4.68,3.63,4.67,9.55
plagA1,metallicus,arboreal,41.72,14.24,17,8.43,3.6,4.8,3.83,4.6,8.69
plagA1,metallicus,arboreal,44.77,14.61,18.45,8.89,4.17,5.06,3.87,5.02,8.83
plagA1,metallicus,arboreal,39.38,14.06,17.13,8.06,3.47,4.78,3.49,4.57,8.41
plagA1,metallicus,arboreal,37.71,12.94,16.33,8,3.39,4.77,3.67,4.33,8.56
plagA1,metallicus,arboreal,47.24,14.82,17.35,9.42,3.98,5.63,3.95,5.47,9.43
plagA1,metallicus,arboreal,45.42,15.77,18.62,9.85,4.61,6.64,4.68,5.17,10.1
plagA1,metallicus,arboreal,40.2,13.82,16.06,8.34,3.72,4.72,3.63,4.71,8.33
plagA1,metallicus,arboreal,39.58,14.06,17.87,8.79,3.53,5.12,3.99,4.8,8.91
plagA2,metallicus,arboreal,40.26,13.27,16.9,8.78,3.4,5.23,3.97,4.81,8.25
plagA2,metallicus,arboreal,36.24,12.54,15.25,7.96,2.94,4.9,3.6,4.36,8.08
plagA2,metallicus,arboreal,39.62,13.78,17.93,8.6,3.7,5.34,3.83,4.77,7.8
plagA2,metallicus,arboreal,39.07,12.46,14.03,8.6,3.57,4.94,3.68,4.92,7.58
plagA2,metallicus,arboreal,39.27,13.13,15.54,7.78,3.77,4.81,3.61,4.17,7.5
plagA3,metallicus,arboreal,47.24,14.28,17.53,9.64,3.8,5.4,4.47,5.17,9.06
plagA3,metallicus,arboreal,38.28,13.05,16.35,8.73,3.42,4.68,3.87,4.86,6.93
