ID,Species,Sex,SVL (mm),Mass (g),Femur Length (mm),Tibia Length (mm),4th-toe Metatarsal Length (mm),4th-toe Phalanges Length (mm),Humerus Length (mm),Ulna Length (mm),3rd-toe metacarpal+phalanges Length (mm),Head Length (mm),Head Width (mm),Pectoral Width (mm),Pelvis Width (mm),Tail Length (mm),3rd-toe Forefoot Toepad (mm2),4th-toe Hindfoot Toepad (mm2)
C29,A. cristatellus,M,67,8.18,16.583,13.9218,8.3337,9.8121,12.245,9.8046,7.6571,17.7337,11.9913,8.514,7.1713,63.8693,3.3543,5.5163
C30,A. cristatellus,M,50,2.92,11.9579,10.041,6.419,7.0706,8.1766,6.7228,5.4844,12.8225,7.9146,6.2289,4.8258,92.9596,1.4883,2.3867
C31,A. cristatellus,F,49,2.77,10.949,9.4892,5.8188,6.617,8.49,7.0001,5.1574,12.1676,7.8827,5.3025,5.3809,51.7067,1.42,2.4468
C32,A. cristatellus,M,62.5,6.31,15.0037,13.0484,7.4254,9.3272,10.9603,9.1417,6.6524,15.5396,10.5781,7.5969,6.3709,116.702,2.0083,3.7172
C33,A. cristatellus,M,61.5,5.01,14.9827,13.0697,7.9156,9.9026,10.8808,9.0976,6.836,15.7733,10.5681,7.4928,5.9284,53.2369,2.1644,4.1184
C34,A. cristatellus,M,62,6.82,16.1804,13.6815,8.0465,9.5607,11.3668,9.6228,7.0233,16.1072,10.991,7.5993,6.067,94.5227,2.9756,4.2283
C35,A. stratulus,M,45,1.69,9.4789,7.98,4.7218,5.8486,7.8379,6.3238,4.8614,12.5027,7.1967,5.5054,3.9314,75.1924,1.1105,1.95
C36,A. cristatellus,M,57.5,5.16,14.9054,12.6948,7.7668,8.7259,10.9144,8.7253,6.3102,14.8135,10.061,6.9045,5.4938,59.3442,2.2647,3.1493
C37,A. cristatellus,M,68.5,8.12,16.6932,14.0586,8.1182,10.1696,11.535,9.4988,7.7715,17.0734,12.1044,7.5388,6.8896,107.3568,3.5723,5.3776
C38,A. cristatellus,F,49.5,2.47,11.7531,9.9547,6.1654,6.378,8.836,7.217,4.6623,13.1933,8.4602,5.933,5.1123,72.3424,1.2987,2.0915
